GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1450938801	2022-06-17 08:23:18.369985	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				X					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Creekside Park and Trails	L7392929	H	45.7057665	-111.0048321	2022-06-04	06:08:00	obsr738987	S112097576	Traveling	P22	EBIRD	79	2.895		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1468581521	2022-06-27 20:43:03.496063	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Deer Creek	L1802842	H	45.2991959	-111.2037508	2022-06-27	07:28:00	obsr1447839	S113935146	Traveling	P22	EBIRD	59	1.185		2	1	G8610303	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1464133858	2022-06-21 10:45:31.376174	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-06-21	07:15:00	obsr563134	S113457047	Traveling	P22	EBIRD	70	3.219		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1448751037	2022-09-24 18:26:05.091605	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Glen Lake Rotary Park--Trails east of the river	L2191787	H	45.7062552	-111.0325441	2022-06-01	08:01:00	obsr1193825	S111886752	Traveling	P22	EBIRD	190	2.931		2	1	G8949896	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1465226387	2023-03-23 17:24:42.221954	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1				Unknown Sex, Juvenile (1)	United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Langohr Campground	L1235908	H	45.5344463	-111.0164273	2022-06-22	16:19:00	obsr56241	S113583632	Traveling	P22	EBIRD	30	0.322		15	1	G8589106	1	1	0			Prolonged views of this iconic bird	
URN:CornellLabOfOrnithology:EBIRD:OBS1460236505	2022-06-15 21:42:21.370507	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-06-15	19:26:00	obsr135073	S113029400	Traveling	P22	EBIRD_VINS	12	0.241		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1469030943	2022-06-28 15:31:11.775496	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				X					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Sourdough Canyon Trail	L2690630	H	45.5901048	-111.0253179	2022-06-28	11:55:00	obsr3242467	S113981930	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1463109584	2022-06-19 22:56:56.585087	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-06-19	19:50:00	obsr45736	S113327050	Traveling	P22	EBIRD	60	1.609		2	1		0	1	0		50 and rain showers		
URN:CornellLabOfOrnithology:EBIRD:OBS1469029215	2022-06-28 15:42:56.239299	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				2					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Sourdough Canyon Trail	L2690630	H	45.5901048	-111.0253179	2022-06-28	11:54:00	obsr3124281	S113982663	Traveling	P22	EBIRD	105	4.651		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1460416335	2022-11-01 21:08:13.434416	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Hyalite Canyon--Mile Marker 5	L19663447	P	45.5425290	-111.0282580	2022-06-14	17:11:00	obsr171822	S113043886	Stationary	P21	EBIRD	15			8	1	G8560803	1	1	0			Great views of a bird in the stream.	
URN:CornellLabOfOrnithology:EBIRD:OBS1466699635	2022-07-09 09:35:49.448798	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Custer Gallatin National Forest, Gallatin Gateway US-MT (45.3816,-111.1906)	L19820170	P	45.3815980	-111.1905940	2022-06-23	19:30:00	obsr571765	S113736974	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1467529862	2023-03-23 17:24:42.221954	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1				Unknown Sex, Juvenile (1)	United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Langohr Campground	L1235908	H	45.5344463	-111.0164273	2022-06-22	16:19:00	obsr2845960	S113821117	Traveling	P22	EBIRD	30	0.322		15	1	G8589106	1	1	0			Prolonged views of this iconic bird	
URN:CornellLabOfOrnithology:EBIRD:OBS1461905473	2022-07-09 14:09:16.613788	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Sourdough Canyon Trail	L2690630	H	45.5901048	-111.0253179	2022-06-17	13:36:00	obsr247322	S113196688	Traveling	P22	EBIRD	108	2.205		2	1	G8569232	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1448616852	2022-06-17 13:22:00.488961	27090	species	avibase-A5EC8BF5	American Dipper	Cinclus mexicanus				1					United States	US	Montana	US-MT	Gallatin	US-MT-031		10			Story Mill Community Park	L4686166	H	45.6976446	-111.0224290	2022-06-01	06:45:00	obsr51149	S111873347	Traveling	P22	EBIRD	91	2.749		1	1	G8565454	0	1	0				
